method,split,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
shared_autonomy_pomdp,nominal,480,0.69722,0.01660,0.06493,0.00944,0.14201,0.01339,0.21632,0.01471,0.12604,0.01257,0.00937,0.00394,0.00694,0.00298,0.46885,0.00484,0.13457,0.00825,0.17764,0.00118,0.39837,0.02218
shared_autonomy_pomdp,overtrust_safety_shift,480,0.60764,0.01707,0.14375,0.01305,0.24306,0.01576,0.32431,0.01713,0.23993,0.01452,0.08021,0.01042,0.00799,0.00319,0.68761,0.00693,0.28126,0.00846,0.20885,0.00138,0.05371,0.02498
static_role_policy,burden_sensitive_shift,480,0.47500,0.01819,0.15937,0.01349,0.09896,0.01077,0.40868,0.01798,0.24201,0.01549,0.12778,0.01249,0.01250,0.00427,0.35532,0.00197,0.30484,0.00803,0.32880,0.00192,-0.05803,0.02588
static_role_policy,capability_shift,480,0.52882,0.01871,0.16597,0.01386,0.06562,0.00936,0.36389,0.01771,0.27187,0.01696,0.13056,0.01292,0.01076,0.00367,0.27534,0.00183,0.31639,0.00793,0.32709,0.00189,0.00994,0.02618
static_role_policy,combined_extreme,480,0.43715,0.01803,0.19375,0.01457,0.10556,0.01110,0.45174,0.01695,0.30174,0.01612,0.17292,0.01415,0.01215,0.00400,0.41754,0.00223,0.35981,0.00703,0.34712,0.00214,-0.19428,0.02639
static_role_policy,delayed_human_feedback,480,0.47951,0.01853,0.14514,0.01328,0.08507,0.00996,0.42743,0.01797,0.22569,0.01550,0.12674,0.01237,0.01424,0.00417,0.42466,0.00196,0.28745,0.00825,0.32267,0.00194,-0.03421,0.02553
static_role_policy,false_clarification_shift,480,0.48160,0.01807,0.15972,0.01334,0.10347,0.01079,0.42535,0.01857,0.22917,0.01459,0.12083,0.01135,0.01354,0.00430,0.36796,0.00202,0.30798,0.00787,0.32985,0.00195,-0.05333,0.02511
static_role_policy,intent_ambiguity_shift,480,0.51979,0.01823,0.12986,0.01279,0.07326,0.00959,0.40139,0.01729,0.20174,0.01480,0.11319,0.01149,0.00903,0.00351,0.27931,0.00184,0.26923,0.00824,0.31883,0.00179,0.06002,0.02589
static_role_policy,nominal,480,0.57118,0.01815,0.09688,0.01104,0.05521,0.00813,0.34340,0.01701,0.17535,0.01389,0.07708,0.01004,0.00903,0.00351,0.22745,0.00149,0.22139,0.00790,0.29179,0.00159,0.20120,0.02345
static_role_policy,overtrust_safety_shift,480,0.46875,0.01794,0.18576,0.01481,0.08333,0.00992,0.41146,0.01786,0.29306,0.01683,0.16840,0.01411,0.00937,0.00370,0.34952,0.00202,0.35329,0.00721,0.33874,0.00195,-0.12068,0.02469
uncertainty_clarification_policy,burden_sensitive_shift,480,0.56736,0.01744,0.11944,0.01237,0.45521,0.01915,0.30868,0.01669,0.20486,0.01456,0.06667,0.00937,0.07083,0.00937,1.08273,0.01119,0.24018,0.00881,0.24359,0.00169,-0.06429,0.02602
uncertainty_clarification_policy,capability_shift,480,0.60243,0.01776,0.13368,0.01180,0.35625,0.01811,0.26215,0.01657,0.21771,0.01538,0.07431,0.01007,0.06493,0.00868,0.95646,0.01028,0.25828,0.00821,0.23936,0.00167,0.01645,0.02445
uncertainty_clarification_policy,combined_extreme,480,0.54306,0.01818,0.17118,0.01391,0.55347,0.01886,0.33090,0.01631,0.26806,0.01618,0.11771,0.01195,0.07812,0.01005,1.21155,0.01274,0.31423,0.00824,0.25868,0.00186,-0.24920,0.02712
uncertainty_clarification_policy,delayed_human_feedback,480,0.58542,0.01734,0.10590,0.01134,0.50347,0.01898,0.31875,0.01813,0.16806,0.01426,0.07500,0.01017,0.05764,0.00830,1.15523,0.01133,0.21957,0.00847,0.24191,0.00167,-0.04392,0.02461
uncertainty_clarification_policy,false_clarification_shift,480,0.55833,0.01875,0.12674,0.01233,0.50069,0.01903,0.30139,0.01751,0.18542,0.01467,0.07951,0.01042,0.08889,0.01072,1.10602,0.01150,0.24751,0.00880,0.24552,0.00172,-0.09967,0.02625
uncertainty_clarification_policy,intent_ambiguity_shift,480,0.59896,0.01779,0.10382,0.01121,0.35903,0.01762,0.27431,0.01523,0.16632,0.01466,0.04792,0.00813,0.06424,0.00918,0.95843,0.01017,0.20904,0.00864,0.23280,0.00162,0.07102,0.02503
uncertainty_clarification_policy,nominal,480,0.64965,0.01646,0.06736,0.00892,0.29444,0.01747,0.20938,0.01495,0.13160,0.01183,0.02813,0.00637,0.06319,0.00864,0.80934,0.00801,0.15306,0.00745,0.21225,0.00148,0.24373,0.02278
uncertainty_clarification_policy,overtrust_safety_shift,480,0.55903,0.01758,0.15486,0.01405,0.45139,0.01738,0.27604,0.01604,0.26562,0.01603,0.12361,0.01192,0.06840,0.00929,1.09285,0.01158,0.29939,0.00856,0.25023,0.00170,-0.14171,0.02645
