method,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
inverse_rl_intent_pomdp,4,192,0.59462,0.02840,0.18403,0.02184,0.24132,0.02618,0.31250,0.02745,0.25868,0.02618,0.05642,0.01396,0.00434,0.00376,0.60619,0.01043,0.31356,0.01365,0.23490,0.00314,0.00455,0.04108
inverse_rl_intent_pomdp,5,192,0.56858,0.02947,0.17101,0.02217,0.21354,0.02488,0.28733,0.02544,0.24306,0.02585,0.05990,0.01489,0.00608,0.00443,0.60622,0.01042,0.30611,0.01388,0.23472,0.00319,0.01965,0.04764
inverse_rl_intent_pomdp,6,192,0.56424,0.02673,0.16753,0.02151,0.22222,0.02404,0.29601,0.02737,0.26562,0.02486,0.06163,0.01514,0.00434,0.00376,0.60622,0.01036,0.30267,0.01363,0.23470,0.00309,0.00230,0.03849
inverse_rl_intent_pomdp,7,192,0.58160,0.02675,0.16667,0.02033,0.23351,0.02449,0.29253,0.02727,0.27344,0.02414,0.06163,0.01455,0.00694,0.00472,0.60620,0.01029,0.30149,0.01322,0.23471,0.00316,0.01279,0.03917
inverse_rl_intent_pomdp,8,192,0.57986,0.02974,0.17361,0.02182,0.22049,0.02484,0.32031,0.02575,0.26389,0.02545,0.05990,0.01429,0.00608,0.00443,0.60604,0.01034,0.30674,0.01409,0.23487,0.00318,0.00447,0.04391
inverse_rl_intent_pomdp,9,192,0.55990,0.03071,0.16146,0.02156,0.21701,0.02487,0.30556,0.02744,0.25694,0.02695,0.06250,0.01375,0.00260,0.00293,0.60541,0.01031,0.29922,0.01387,0.23512,0.00307,0.00749,0.04651
language_affordance_planner,0,192,0.48264,0.02823,0.18490,0.02356,0.16667,0.02276,0.40278,0.03074,0.28559,0.02747,0.13021,0.02053,0.01649,0.00746,0.45915,0.00634,0.34287,0.01237,0.30551,0.00372,-0.13393,0.04190
language_affordance_planner,1,192,0.51042,0.02921,0.18056,0.02404,0.17014,0.02184,0.34462,0.02772,0.29253,0.03049,0.12153,0.02061,0.00868,0.00525,0.45823,0.00631,0.34192,0.01289,0.30509,0.00371,-0.08181,0.04049
language_affordance_planner,2,192,0.49392,0.02723,0.17535,0.02285,0.16753,0.02282,0.37674,0.03094,0.30035,0.02774,0.10677,0.01916,0.01215,0.00615,0.45817,0.00630,0.33618,0.01277,0.30554,0.00373,-0.10260,0.04517
language_affordance_planner,3,192,0.51128,0.03052,0.18142,0.02348,0.17014,0.02144,0.36372,0.02722,0.30556,0.02534,0.12587,0.01926,0.01215,0.00615,0.45849,0.00629,0.33959,0.01269,0.30545,0.00371,-0.09588,0.04740
language_affordance_planner,4,192,0.51736,0.02664,0.20660,0.02244,0.16840,0.02224,0.38802,0.02555,0.31163,0.02749,0.11806,0.01897,0.01562,0.00689,0.45845,0.00648,0.35312,0.01214,0.30503,0.00367,-0.12595,0.04007
language_affordance_planner,5,192,0.48958,0.02830,0.18229,0.02303,0.15191,0.02113,0.37934,0.02897,0.28906,0.03001,0.11979,0.01906,0.01215,0.00660,0.45786,0.00653,0.34273,0.01214,0.30553,0.00369,-0.10700,0.04265
language_affordance_planner,6,192,0.49566,0.02776,0.19531,0.02408,0.15278,0.02080,0.33767,0.02787,0.27517,0.02695,0.13281,0.01983,0.01302,0.00720,0.45873,0.00631,0.34605,0.01298,0.30475,0.00354,-0.09837,0.04067
